nome_cliente,email,idade,data_compra,valor_compra,produto_id,ativo
Srta. Stephany Carvalho,framos@gmail.com,,1979/04/11,R$ 358.16,null,0
Leonardo da Mota,email_invalido@.com,60,31-02-2023,"155,76",,1
LUIZA CARDOSO,mariaalmeida@nunes.br,,23/01/1994,"86,84",null,false
Davi Luiz Vieira,vicenteda-cunha@alves.org,,21/08/1980,R$ 34.83,,yes
EMILLY MELO,cardosothiago@ig.com.br,,1979-01-04,"533,38",null,1
Noah Carvalho,das-nevesbryan@bol.com.br,,1970-10-08,5683.25,,1
Maria Alice Viana,thiagoda-mota@viana.net,20,31-02-2023,"460,27",,1
Kamilly Nunes,danilolima@mendes.com,55,31-02-2023,R$ 160.19,,não
dr. otávio duarte,ana-julia63@cunha.br,,31-02-2023,R$ 10.31,,sim
ANTHONY DA PAZ,jda-cunha@uol.com.br,,1975/04/15,R$ 329.98,674-O,yes
Alice Ramos,caioda-paz@aragao.br,59,31-02-2023,8178.52,null,não
MARCOS VINICIUS BARBOSA,pireslucas@das.br,,13/10/1941,3911.47,null,1
Amanda Pereira,moraesgiovanna@uol.com.br,,1965/01/09,"794,32",null,
Joana Mendes,isis85@bol.com.br,,1989/03/30,"714,65",,sim
João Pedro Souza,fjesus@silveira.com,,02/11/1960,1976.82,477-Y,false
dr. calebe sales,tcastro@goncalves.org,,23/06/1970,1629.9,null,true
Nina Barros,uda-costa@hotmail.com,,1967/05/10,7688.0,564-Z,0
AGATHA NASCIMENTO,pedro24@bol.com.br,,1999/06/18,R$ 717.18,555,no
KAIQUE FERNANDES,rezendehelena@souza.com,,08/10/1980,R$ 801.39,578,true
Pedro Miguel Duarte,gustavo-henriquefogaca@nogueira.br,49,31-02-2023,R$ 282.34,379,sim
Srta. Lavínia Duarte,ida-rocha@da.net,,1970/06/08,515.86,570-G,sim
Sra. Maitê Pereira,lopesjoao-lucas@lopes.br,,2016-07-14,R$ 892.47,660-W,
larissa das neves,woliveira@lima.br,27,17/09/1996,R$ 525.33,,yes
DRA. LETÍCIA RIBEIRO,diegocardoso@gmail.com,,31-02-2023,"706,74",null,1
carlos eduardo melo,email_invalido@.com,,1998-10-01,836.18,585,não
Enzo da Cruz,evelyn38@gmail.com,,1991-05-07,5516.79,null,false
Dr. Joaquim Araújo,melobarbara@vieira.com,,1991-03-10,"693,13",null,yes
CECÍLIA DA PAZ,djesus@hotmail.com,68,31-02-2023,R$ 603.42,563,1
luiz miguel nunes,gviana@uol.com.br,65,20/04/1998,R$ 166.72,null,1
Theo Lima,diogo35@lopes.net,,1973/01/17,"835,14",936,sim
Yago Ribeiro,vinicius59@yahoo.com.br,60,09/02/1996,R$ 401.67,,0
Bianca Santos,oramos@hotmail.com,,31-02-2023,2375.15,569,não
THOMAS DA ROCHA,isadoranascimento@bol.com.br,,31-02-2023,R$ 357.71,,
Helena da Cunha,email_invalido@.com,,2001-03-01,2352.6,750,sim
Sabrina Gonçalves,nunespietra@dias.com,42,2012-10-14,"249,39",485,
kamilly da costa,uferreira@da.org,66,2016-05-09,"432,12",null,true
Dr. Noah Da Costa,oaragao@uol.com.br,27,10/08/1959,4048.6,987-E,true
dr. ryan mendes,carvalhobeatriz@yahoo.com.br,69,04/09/1985,R$ 894.37,null,
FERNANDA CORREIA,freitasrafaela@gmail.com,,31-02-2023,"16,16",null,yes
Diego Correia,lucas-gabrielgomes@ig.com.br,61,11/04/1995,1243.3,,yes
EMILLY FOGAÇA,larissaalmeida@ig.com.br,,31-02-2023,"66,66",,1
SR. GABRIEL SOUZA,da-matajuan@ig.com.br,,03/10/1995,8125.62,258,no
Kaique Azevedo,isabelly23@silva.com,,02/01/1964,4257.63,846-T,não
STELLA MORAES,email_invalido@.com,,04/02/1957,"883,18",233-X,não
Isadora Correia,tfernandes@uol.com.br,,21/02/1960,1306.3,null,sim
JOÃO GABRIEL DA CUNHA,email_invalido@.com,,1956/05/14,5691.76,133-F,sim
Caroline Aragão,vramos@monteiro.net,,1951/05/28,"883,99",null,1
SABRINA RODRIGUES,benjamin39@silveira.br,54,31-02-2023,R$ 101.3,710,não
luigi jesus,scardoso@duarte.com,,03/06/1981,R$ 38.75,652,no
dr. luiz fernando lima,rpeixoto@nunes.br,,1950/08/21,R$ 538.43,287-Y,sim
sr. joão lucas cardoso,gabrielcorreia@hotmail.com,,31-02-2023,8002.74,569,no
Cauê Rocha,brenocostela@souza.net,,31-02-2023,"497,40",988,1
Pedro Lucas das Neves,yda-rocha@uol.com.br,,1998-08-06,3451.96,638-Q,sim
RAQUEL MOURA,da-cunhaana@bol.com.br,,2006/01/21,8249.18,,0
davi correia,alice87@novaes.br,,31-02-2023,R$ 153.93,null,yes
ENZO CALDEIRA,anthony56@monteiro.com,48,2007-12-21,"84,23",990-O,sim
luiza araújo,rsilveira@pereira.org,,12/07/1977,"404,84",692-O,yes
Dr. Guilherme Peixoto,luiz-henrique67@martins.org,,1969/10/08,"510,24",142,false
Maria Clara Melo,carlos-eduardo92@das.br,,1982-02-13,"27,48",null,false
Alice Lima,vcastro@yahoo.com.br,40,2019-03-20,R$ 142.49,580-D,yes
Maria Sophia Melo,leonardorocha@fernandes.org,,16/07/1989,"172,16",null,true
BERNARDO CARDOSO,goncalvesluiz-gustavo@bol.com.br,,01/05/1981,9189.85,716-H,true
Lorenzo Araújo,silvavitor-gabriel@porto.br,47,31-02-2023,2070.13,655-C,sim
evelyn da mata,gustavo86@yahoo.com.br,,2014-02-28,8247.0,218,não
Sabrina Costa,caio91@mendes.br,52,23/01/1996,4581.69,752-T,1
Larissa Ramos,email_invalido@.com,,31-02-2023,R$ 458.2,null,sim
joão pedro sales,luiz-fernandoda-cruz@ramos.org,,31-02-2023,R$ 11.78,612,true
Stephany Caldeira,claricearaujo@cardoso.org,,1977/07/17,"131,64",null,não
PEDRO TEIXEIRA,opereira@gmail.com,,1971/02/15,R$ 509.8,111,sim
pedro miguel viana,theoda-mata@bol.com.br,,1971-06-04,2484.57,,sim
Sabrina Barros,arthur41@jesus.br,,1985/06/12,2882.8,null,sim
JOÃO MIGUEL REZENDE,melomarcos-vinicius@hotmail.com,,31-02-2023,R$ 232.84,,não
Diego da Mota,ccaldeira@lopes.com,,25/08/1990,563.7,830,true
stella nascimento,stephanyrezende@uol.com.br,,14/04/1978,"866,10",694,
THIAGO LIMA,yda-conceicao@yahoo.com.br,,02/07/1954,6158.66,,no
Felipe da Paz,laura31@ig.com.br,,2003/07/14,R$ 980.63,,no
Danilo Carvalho,jferreira@silveira.net,,28/08/1977,R$ 930.35,,0
sophia moraes,martinsana-carolina@ig.com.br,,2017-09-01,R$ 608.37,508-P,no
PEDRO DA PAZ,gomesantonio@gmail.com,,31-02-2023,"820,30",732,sim
manuela melo,davi-lucascosta@ig.com.br,,31-02-2023,"358,86",null,
igor nunes,lorenzogoncalves@silveira.org,,1955/10/19,8356.5,971,não
Nicole Nogueira,maria-alice25@mendes.org,68,1940/10/08,"483,42",394,sim
Gustavo Peixoto,duartevinicius@yahoo.com.br,,1981/07/21,3950.58,449-M,sim
Maria Alice Dias,xcardoso@rodrigues.br,70,10/11/1960,4925.79,null,sim
sr. danilo campos,icampos@gmail.com,51,04/02/2004,R$ 611.4,,
sr. joão gabriel da cruz,jesusleonardo@peixoto.com,29,18/06/1973,4684.59,670-T,false
Dr. Leonardo Cardoso,kmartins@cardoso.com,,03/04/1957,3091.45,541-A,no
ana rodrigues,diogosales@bol.com.br,,27/08/1949,R$ 999.85,null,true
Dra. Maria Julia Fogaça,ribeiroenzo@hotmail.com,43,31-02-2023,"761,41",null,false
Bruna Santos,email_invalido@.com,45,22/02/1952,R$ 861.7,,0
Beatriz Ferreira,danilo74@ig.com.br,,31-02-2023,"853,24",,sim
Giovanna Teixeira,gustavo71@pires.com,55,1960/10/22,7222.34,null,não
Milena da Rosa,lucasda-rocha@ig.com.br,44,2001-01-08,R$ 907.65,470-T,0
GABRIELA FOGAÇA,eduarda60@bol.com.br,39,1991-05-23,R$ 389.62,254,false
João Lucas Campos,email_invalido@.com,19,2021-12-21,6917.24,697,sim
Emanuel Alves,isis10@yahoo.com.br,56,31-02-2023,7363.33,162-U,false
srta. clarice carvalho,erickmonteiro@ig.com.br,57,15/10/1961,"717,98",839-E,false
Rodrigo Oliveira,lrodrigues@silva.br,29,31-02-2023,4324.7,,0
Lucas Gabriel Da Cruz,cmartins@dias.br,,31-02-2023,9469.17,531-R,1
Alana Dias,das-nevesdavi-lucas@ig.com.br,,31-02-2023,R$ 204.53,504-J,1
Ian Fernandes,mirellarezende@ig.com.br,,1947/06/06,"951,9",null,não
DR. VITOR GABRIEL RIBEIRO,email_invalido@.com,,1982/03/23,"162,28",,false
Bryan Campos,lnogueira@yahoo.com.br,,1947/02/28,R$ 47.4,null,1
Ana Vitória Peixoto,luiz-otaviocorreia@silva.br,35,07/09/1967,7839.81,455-M,
evelyn cunha,lrodrigues@yahoo.com.br,,2005-04-17,R$ 282.0,900-Y,yes
DRA. MARIA LUIZA DIAS,pedroribeiro@monteiro.com,32,07/04/1999,2430.16,160,no
Sarah Alves,juansantos@fernandes.net,,02/02/1993,"945,57",545,no
Sr. Murilo Freitas,email_invalido@.com,,17/03/1968,R$ 43.78,,no
otávio nogueira,mariane86@hotmail.com,41,31-02-2023,R$ 226.28,null,
Marcos Vinicius Azevedo,otavio22@yahoo.com.br,,31-02-2023,"989,3",844-W,1
AGATHA CASTRO,marinaduarte@aragao.org,,1948/10/25,R$ 746.69,205,0
BRYAN DIAS,danielfogaca@yahoo.com.br,,11/09/1968,"770,6",null,false
SRA. MARIA ALICE CAVALCANTI,anasales@bol.com.br,,31-02-2023,"348,26",650,false
julia pinto,email_invalido@.com,,1957/06/30,8878.82,,
Catarina Duarte,da-conceicaojuliana@da.org,,31-02-2023,7889.28,,não
maria silva,marianesilva@souza.com,,19/06/1994,"495,61",,1
Lucca Fogaça,marianecosta@ig.com.br,,1962/02/17,"548,44",439,sim
KAIQUE BARROS,ninada-rocha@uol.com.br,,03/03/1944,4576.72,null,1
gabrielly fogaça,lorenzomoura@cardoso.org,,1992/01/31,R$ 134.38,,false
Joana Ferreira,flima@yahoo.com.br,24,1999/01/07,8932.1,706-T,
Luiz Felipe Cavalcanti,ymonteiro@yahoo.com.br,58,15/07/1972,"405,16",null,1
Thales Moreira,marcelaribeiro@ig.com.br,29,31-02-2023,"256,46",655,sim
Pietro Pinto,moraeslais@correia.com,33,01/12/1981,9053.12,null,true
MURILO DIAS,emanuella73@duarte.br,,31-02-2023,5144.58,null,sim
manuela nascimento,diogocostela@da.com,47,1974-05-28,R$ 207.78,,1
JOAQUIM SILVA,ssilva@das.br,67,1953/01/23,"640,60",110-K,true
Dra. Juliana Moreira,fernando53@hotmail.com,,1978-09-11,R$ 670.56,,não
Augusto Cardoso,ana-julia78@cunha.net,,2023-05-31,2351.35,423,
Ian Azevedo,kbarros@uol.com.br,64,31-02-2023,163.7,364-H,no
Vitória Rocha,qrodrigues@ig.com.br,45,15/10/1965,5886.2,249,false
Vitória Gonçalves,davi-lucascorreia@martins.org,,06/01/1941,"379,22",586,não
Amanda Rodrigues,teixeirabenjamin@costela.br,,1944/08/10,"25,59",null,sim
Heitor Vieira,hcosta@hotmail.com,65,31-02-2023,1433.3,null,
maria luiza porto,ana-laura92@barros.com,,2008-09-06,"311,64",,não
samuel silva,santosfernanda@gmail.com,,1986-11-02,3206.78,494,0
lorena costela,eduardasales@da.com,,1955/11/12,2051.6,null,0
Raul Gomes,email_invalido@.com,53,1936/08/08,R$ 392.0,850-K,false
Enzo Gabriel Rezende,ppereira@bol.com.br,,27/03/2006,9244.8,,false
Sra. Ana Clara Costela,caua81@cavalcanti.com,61,31-02-2023,R$ 383.91,946-B,sim
Nathan da Mata,luana75@jesus.br,36,31-02-2023,9329.9,null,
Srta. Ana Julia Nogueira,dcosta@peixoto.org,,2012-07-16,1765.54,478-E,no
AGATHA CORREIA,hda-mota@dias.org,,1949/02/09,R$ 366.51,573-Y,false
CAIO ALVES,gustavo-henrique51@uol.com.br,,31-02-2023,8401.2,null,yes
Camila Castro,ryanferreira@cunha.br,21,01/04/1939,"234,66",null,no
dra. alice lopes,pedro-miguelbarros@teixeira.br,29,2002/04/19,R$ 913.6,524,true
maria luiza campos,arthurda-paz@porto.com,19,31-02-2023,"526,59",343,true
Dra. Cecília das Neves,evelyn49@nogueira.com,47,25/09/1985,5983.1,885-Q,true
JOÃO GABRIEL JESUS,nteixeira@gomes.com,,23/06/1936,5331.47,868,
Francisco Farias,vieiravitor-gabriel@barbosa.br,,29/09/1981,"996,24",,no
agatha castro,costelaana@uol.com.br,,31-02-2023,R$ 346.23,633,yes
Sra. Gabriela da Luz,ibarros@da.br,45,1955/10/17,5745.93,269,false
FRANCISCO DA ROCHA,da-motaheitor@uol.com.br,,31-02-2023,"873,98",536,1
ANA CLARA BARROS,email_invalido@.com,49,1961/10/26,5760.58,741-W,
Enzo Moraes,arthur51@bol.com.br,,12/05/1948,9780.17,282-Q,0
isadora barros,sabrinasouza@rocha.com,67,1974-07-17,977.82,,yes
pedro henrique dias,carvalhojoana@gmail.com,49,1986/10/20,"784,36",660-N,não
Srta. Mariane Campos,pedro-henrique54@melo.com,33,02/10/1988,2899.32,332-N,não
Helena Azevedo,luiz-gustavo58@nogueira.org,,1964/09/08,6209.1,,
igor carvalho,klima@uol.com.br,50,1977-12-24,"769,91",531-U,sim
Gustavo Henrique Aragão,goncalvesana-sophia@freitas.br,,10/11/1979,R$ 922.33,,1
ALÍCIA AZEVEDO,rfarias@hotmail.com,,31-02-2023,"849,16",430,
Ana Clara Pinto,walmeida@hotmail.com,,31-02-2023,"325,65",922-G,true
rafael da cruz,email_invalido@.com,,1984-05-19,"185,77",null,no
dr. luiz fernando castro,qcorreia@melo.org,,17/10/1971,R$ 723.5,140,yes
Sr. Vitor Ferreira,isaac51@pinto.net,,1976/08/05,"492,47",778-E,não
vitor hugo almeida,email_invalido@.com,,2018-09-10,R$ 952.36,958,1
Thiago Carvalho,sabrinacastro@bol.com.br,,31-02-2023,2371.76,null,não
Dr. Murilo Da Mota,jbarros@teixeira.br,,1951/05/07,5051.43,null,false
dra. luna mendes,thiagoda-conceicao@azevedo.org,,1990/12/01,R$ 504.96,420,true
Davi Luiz Rezende,email_invalido@.com,,11/07/1938,R$ 497.32,675,0
DR. AUGUSTO FARIAS,maite14@da.net,,27/02/1947,4910.84,null,1
Pedro Henrique Caldeira,carolinecostela@uol.com.br,,1938/03/03,944.94,,não
VITÓRIA RAMOS,ocarvalho@nascimento.br,,2002/12/20,"537,65",,true
Sr. Lucas Gabriel Souza,silveiradavi@rodrigues.org,,1988/02/01,R$ 893.96,null,yes
Ana Sophia Ferreira,castrobreno@hotmail.com,,1968/04/04,"919,47",,false
Stella Nogueira,marcela50@cardoso.net,,1945/11/15,"144,71",null,0
Sra. Maria Luiza Moraes,email_invalido@.com,,26/01/1978,"794,99",596,false
VITOR GABRIEL DA PAZ,marianesouza@bol.com.br,,31-02-2023,"861,46",680,1
SR. PIETRO LOPES,hmoura@bol.com.br,69,1968/07/21,"994,14",726,yes
Sr. Alexandre Farias,xcampos@da.org,67,26/08/1994,7126.3,940,1
João Guilherme da Rosa,icampos@ig.com.br,,1955/03/09,"640,96",,0
ian freitas,da-cunhaclarice@correia.br,68,2023-10-12,R$ 515.47,465,sim
Ana Sophia Monteiro,email_invalido@.com,,31-02-2023,7744.82,308,sim
Juan Lopes,andre04@uol.com.br,,1988-01-16,8303.84,583-L,sim
noah nascimento,nascimentoleandro@bol.com.br,27,31-02-2023,9132.48,846-L,false
paulo da mata,da-costamaria-julia@peixoto.br,19,2023-09-10,706.41,722,
Helena Oliveira,pdias@uol.com.br,,1970-10-18,8407.86,null,
MARIANA FERNANDES,osouza@oliveira.org,,31-02-2023,R$ 952.17,,sim
CECÍLIA MONTEIRO,das-nevesisabella@yahoo.com.br,,06/08/1940,"641,5",null,1
Olivia Ferreira,helena24@uol.com.br,,1948/10/31,"55,38",780-J,yes
Maysa Da Luz,teixeirasophia@farias.com,,1982-10-19,49.43,457-H,não
DIEGO RAMOS,luiz-fernandocarvalho@goncalves.org,,12/09/1995,R$ 471.51,null,no
daniel nogueira,mirella75@bol.com.br,43,2015-06-11,"574,23",202-P,true
Otávio Da Costa,email_invalido@.com,,1980-09-21,7570.73,null,yes
Maria Dias,jsilveira@ferreira.net,52,31-02-2023,R$ 219.94,null,sim
Sr. João Lucas Viana,umelo@da.com,,1987-01-05,2313.84,933,0
dr. diego lopes,hrocha@hotmail.com,,1974-02-01,"483,45",806-S,
EDUARDO PEREIRA,davi-luiz30@bol.com.br,,2013-11-18,R$ 523.83,732,
Kamilly Oliveira,nicole08@da.com,,2015-11-28,7351.4,526,true
bruna fogaça,email_invalido@.com,,30/04/1999,"175,45",,
luna carvalho,lrezende@uol.com.br,,31-02-2023,R$ 372.92,835,no
CAMILA DA LUZ,joaquim26@uol.com.br,32,1995/11/26,R$ 620.73,,true
DRA. FERNANDA MARTINS,helenasales@caldeira.br,,1994/12/24,R$ 685.37,,
Marcos Vinicius Das Neves,da-cunhamaria-sophia@bol.com.br,33,31-02-2023,R$ 339.68,816,1
Valentina Souza,aliciadias@barbosa.br,69,1985-06-24,R$ 162.35,553-D,0
JOÃO FELIPE CASTRO,xmoreira@hotmail.com,,08/02/1953,R$ 390.55,170-U,1
luiz fernando fogaça,sophia32@gmail.com,,2005-11-27,5597.39,null,false
Leonardo Correia,paulo45@castro.com,31,30/10/1945,R$ 591.36,,no
NICOLAS SILVEIRA,elisaribeiro@yahoo.com.br,26,1940/04/18,R$ 962.5,955-U,true
Luigi Peixoto,moraeslarissa@da.br,,25/03/1957,3987.0,999,false
Gabriela Peixoto,email_invalido@.com,,1967/12/29,R$ 226.17,586,
eloah jesus,joao-gabrielda-rocha@lopes.net,,31-02-2023,R$ 531.83,440,não
diego porto,pereiracecilia@bol.com.br,,1990/05/17,"401,77",269-S,false
Maria Alice Fogaça,ana-beatrizcardoso@hotmail.com,,2010-04-21,R$ 153.6,772-V,1
SR. LUIZ FERNANDO REZENDE,caioviana@mendes.br,,31-02-2023,R$ 790.35,null,true
Maria Eduarda Cardoso,enricoda-mata@correia.net,,30/10/1963,R$ 555.37,null,1
Breno da Luz,costelaclara@ig.com.br,,2024-06-12,"497,23",452-C,
Thales Ferreira,maria-vitoriamelo@yahoo.com.br,,18/05/1947,"24,94",,0
DAVI LUCAS CASTRO,daniel26@bol.com.br,60,1967/10/21,R$ 663.81,null,false
Dra. Natália da Cunha,lopescarlos-eduardo@gmail.com,56,1976/05/13,"678,83",399,true
VICENTE AZEVEDO,jmonteiro@yahoo.com.br,,31-02-2023,5275.5,332-I,no
Benício da Cruz,yaragao@castro.br,,2003/02/17,R$ 871.4,,true
Samuel Martins,vianacarlos-eduardo@freitas.net,,1965/10/30,"923,63",508-E,no
Sra. Emanuelly da Costa,moraesmaysa@bol.com.br,23,31-02-2023,R$ 644.93,250-P,0
Ana Lívia Fogaça,diegocaldeira@yahoo.com.br,,2003-05-15,2303.62,null,false
LUNA DA COSTA,ksales@bol.com.br,61,1960/11/03,"608,30",null,true
levi novaes,eda-luz@gmail.com,,15/09/1945,R$ 407.99,738-U,
joão miguel da rocha,da-costamiguel@yahoo.com.br,,1985-04-18,R$ 590.81,null,false
luiz fernando lima,aferreira@silveira.com,44,26/10/1952,13.75,696-A,0
Sr. Davi Luiz Sales,da-luzisabelly@costela.com,,31-02-2023,R$ 955.39,null,0
Eduardo Nunes,oteixeira@lopes.com,,1980/03/21,2905.72,null,true
Lívia Fogaça,vianaarthur@hotmail.com,69,09/04/1971,6544.85,911-A,yes
ana beatriz souza,opeixoto@ig.com.br,,16/09/1991,3145.2,395-O,false
eduardo da mata,scaldeira@ig.com.br,29,31-02-2023,8641.35,148,false
Vitor Hugo Barros,davi-luiz79@yahoo.com.br,,31-02-2023,R$ 591.72,null,yes
ELISA MOURA,email_invalido@.com,,31/03/1984,"526,81",518,no
GABRIELLY BARBOSA,yagomoraes@nunes.com,,1984-04-26,4041.36,,não
alícia viana,camila63@hotmail.com,,31-02-2023,R$ 638.14,,false
SRA. JÚLIA MELO,gabrielpires@hotmail.com,34,1978-04-13,"292,86",362-T,1
Davi Lucas da Rocha,rafael56@hotmail.com,,2020-04-29,3876.1,,não
Cauê Ferreira,rezendekamilly@bol.com.br,37,2018-06-02,"623,64",953-C,false
Dr. Juan Silveira,email_invalido@.com,69,1978-03-22,5047.55,260-M,1
Lucas Gabriel da Costa,maria-alicepinto@monteiro.com,33,2005/06/08,R$ 248.52,,
Nina Correia,lucas-gabriel24@cardoso.com,34,1942/03/15,R$ 343.51,,no
Catarina Nascimento,livia66@monteiro.br,,1986-03-02,2015.47,null,0
Cauã Ramos,cardosopietro@cardoso.com,,31-02-2023,"157,3",,sim
Murilo Viana,jnogueira@uol.com.br,61,2000/12/22,2875.3,823,não
cecília novaes,giovanna75@bol.com.br,,1945/02/02,R$ 220.73,,0
Davi Luiz Da Paz,elisa04@farias.br,,1988-03-07,R$ 31.37,933,true
Maria Julia Caldeira,nmoraes@ig.com.br,,31-02-2023,R$ 931.6,967-A,1
GUILHERME ALVES,vitoria68@araujo.org,27,1957/01/21,"358,81",null,
Stella Cardoso,lorenasales@gmail.com,,31-02-2023,"734,6",null,no
sra. sophie correia,imoreira@bol.com.br,57,31-02-2023,R$ 851.0,653,no
Dra. Maitê Freitas,cavalcantivinicius@da.com,,1977/09/25,5614.74,,true
Calebe Melo,lucasalmeida@santos.br,,1974/03/25,325.91,819-Z,1
Bruna Moraes,email_invalido@.com,,2008-11-25,"697,83",null,false
PEDRO HENRIQUE MELO,olivia39@ig.com.br,,2002-03-10,R$ 943.91,null,true
Dr. Benício Vieira,ana-beatrizalmeida@uol.com.br,,1982-05-20,3548.11,186,false
Srta. Gabriela Porto,ana-julia80@yahoo.com.br,,2013-04-08,R$ 801.3,,no
Ana Carolina Cardoso,luiza86@caldeira.org,58,05/12/1955,8917.4,438-N,true
Helena Lima,luiz-henriqueferreira@hotmail.com,,1993-04-11,R$ 166.2,,true
SRTA. ANA VITÓRIA NASCIMENTO,portogabriel@barbosa.net,18,31-02-2023,R$ 933.72,,1
Isabelly Caldeira,foliveira@yahoo.com.br,,2017-11-29,R$ 100.59,462,true
João Miguel Viana,email_invalido@.com,,09/02/1952,"227,47",950-Z,não
Davi Lucas da Mata,scastro@uol.com.br,,1982-01-13,R$ 71.49,null,sim
João Felipe Santos,vitor-gabrielda-cunha@yahoo.com.br,,1973/01/18,"147,48",205-Y,1
Henrique Monteiro,carvalhojoao-gabriel@ig.com.br,,1983-07-10,"358,52",null,false
LAÍS ALVES,nunespedro-miguel@cardoso.com,53,29/04/1965,3479.6,null,sim
Maria Fernanda da Cruz,vgoncalves@fernandes.br,,31-02-2023,"91,6",null,0
Yago da Conceição,jda-mota@da.com,,31-02-2023,"253,80",207,no
LUCAS GABRIEL RODRIGUES,giovanna82@ig.com.br,55,2023-05-18,R$ 25.82,,false
JOÃO MIGUEL LOPES,mmoura@uol.com.br,,04/08/1984,R$ 166.53,,false
MARIA COSTA,pgomes@farias.com,30,31-02-2023,R$ 805.94,761,true
joão pedro nascimento,da-costarafael@hotmail.com,,1962/04/28,"524,93",469,0
Gabrielly Silva,kbarbosa@costa.org,54,31-02-2023,R$ 52.61,522-F,sim
Marcos Vinicius Pires,oda-rosa@nascimento.net,,2003/06/07,2552.98,676,true
dr. luigi da cunha,maria-aliceda-rocha@gmail.com,,2017-04-26,"623,19",,
Amanda Pires,lorenzosouza@sales.br,,31-02-2023,R$ 21.57,,
dr. antônio moreira,heloisa30@silveira.br,,31-02-2023,R$ 825.92,707-H,sim
LARA NOVAES,claricesilva@farias.br,64,26/02/2000,R$ 744.98,476-K,sim
Gustavo Alves,email_invalido@.com,,22/09/1980,R$ 910.69,981,no
MARIA SOPHIA DA ROSA,isabellyda-cunha@alves.com,,31-02-2023,1584.27,,1
Luiz Henrique da Rocha,vda-mata@hotmail.com,,13/05/1990,2574.23,,sim
Nathan Oliveira,pmoraes@yahoo.com.br,47,31-02-2023,"656,38",null,no
Matheus Viana,lcorreia@ig.com.br,,1958/04/30,5958.49,198,yes
Cauê Costa,vianajulia@novaes.br,,03/12/1973,468.3,324,
Luiz Felipe da Luz,nogueiravalentina@aragao.com,,06/07/1987,"735,94",null,true
SABRINA ROCHA,mourayuri@yahoo.com.br,,2009-03-20,R$ 907.71,null,no
Gabriel Pires,maria-cecilia58@mendes.br,66,1956/12/29,"562,90",891,sim
davi lucas moura,larissasales@da.org,26,1983/03/25,R$ 972.97,227,no
YURI MENDES,hcosta@cunha.br,,31-02-2023,"918,78",268,0
Joana Da Costa,gabriel80@castro.net,,31-02-2023,R$ 713.6,null,yes
milena peixoto,email_invalido@.com,55,31-02-2023,8811.83,null,true
Dr. Diogo Das Neves,vda-rocha@gmail.com,57,02/09/1934,R$ 943.44,null,true
Maria Julia Freitas,laviniadas-neves@carvalho.com,,12/10/1999,"49,15",308,true
Caio Das Neves,pedro10@uol.com.br,40,31-02-2023,R$ 227.67,null,true
BENÍCIO CUNHA,ana-clara67@melo.com,,31-02-2023,"988,60",603-S,sim
julia novaes,duarteeloah@peixoto.org,41,31-02-2023,"140,23",,false
sarah pereira,wcorreia@ig.com.br,31,31-02-2023,"878,98",978,sim
srta. maria sophia jesus,cdas-neves@bol.com.br,,2017-12-07,6153.97,null,yes
laura nascimento,mendesalexia@gmail.com,,31-02-2023,"653,57",,no
pietro farias,eviana@uol.com.br,,1951/04/13,"907,28",633,no
guilherme campos,melocamila@viana.br,,1967/12/24,R$ 86.95,884-E,false
Renan Dias,da-cruzmaria-fernanda@ig.com.br,,1949/11/08,"663,2",728,0
DR. CARLOS EDUARDO DA LUZ,cardosomurilo@porto.br,62,1935/03/05,"884,27",470,true
Laís Jesus,fernandacunha@ig.com.br,,1936/07/19,2046.43,,no
ESTHER REZENDE,raul96@fernandes.com,,31-02-2023,1407.1,,true
enzo gabriel cardoso,email_invalido@.com,34,2009-01-06,R$ 445.54,673,yes
Isis Jesus,lfarias@ig.com.br,,31-02-2023,5812.29,863-W,1
maria eduarda da luz,stephany88@gmail.com,,31-02-2023,"933,36",null,yes
Raul Almeida,oramos@gmail.com,26,1997/03/12,8176.12,769,não
Ryan Viana,cardosoigor@pires.net,44,1997-10-10,925.56,262-B,yes
joão dias,estherviana@yahoo.com.br,44,1954/11/29,"430,52",,não
Mirella Viana,nascimentoclara@rodrigues.net,39,02/11/2004,R$ 974.88,975,false
BERNARDO CARDOSO,freitaspaulo@alves.br,,31-02-2023,R$ 747.33,347-Q,sim
Sra. Ana Carolina Viana,ebarbosa@carvalho.com,19,31-02-2023,3982.32,880-R,false
Nina Da Rocha,email_invalido@.com,,22/11/1989,"564,72",289-K,1
Carlos Eduardo Santos,alveserick@ig.com.br,,2010-03-26,"115,66",,false
CATARINA DA PAZ,meloana-julia@hotmail.com,,31-02-2023,R$ 254.1,null,
valentina mendes,wda-mata@sales.com,57,1999/09/12,"455,29",null,yes
IAN CARDOSO,email_invalido@.com,,1993/01/06,"372,96",258-M,0
Carolina Moreira,koliveira@carvalho.com,,31-02-2023,7864.22,null,sim
Larissa Pires,castromelissa@hotmail.com,,31-02-2023,R$ 294.92,663,0
LÍVIA DA PAZ,cribeiro@da.br,,31-02-2023,R$ 550.38,,não
srta. sophie mendes,lais10@bol.com.br,,1935/08/05,"75,70",265,sim
DAVI LUIZ RIBEIRO,ribeiroana-sophia@barbosa.org,34,31-02-2023,2901.22,null,sim
Eloah Cavalcanti,lopesluiz-fernando@cavalcanti.com,,20/01/1997,5979.31,127,sim
Alana Costa,ana-laura49@cardoso.com,41,09/02/1986,R$ 702.85,,yes
